study_hours,attendance,previous_score,assignments,sleep_hours,final_score
2.0,60,50,5,5,52
2.5,65,55,6,6,58
3.0,70,60,6,6,62
3.5,75,65,7,7,68
4.0,80,70,8,7,74
4.5,85,75,8,7,78
5.0,88,78,9,8,82
5.5,90,82,9,8,86
6.0,92,85,10,8,89
6.5,95,90,10,9,94
1.5,55,45,4,5,48
2.2,62,52,5,6,55
2.8,68,58,6,6,61
3.2,72,63,7,7,65
3.8,78,68,7,7,71
4.2,81,72,8,7,75
4.8,86,76,9,8,80
5.2,89,80,9,8,84
5.8,91,84,10,8,88
6.2,94,88,10,9,92
1.8,58,48,4,5,50
2.7,67,57,6,6,59
3.4,74,64,7,6,66
4.1,79,69,8,7,73
4.7,84,74,8,7,77
5.3,87,79,9,8,83
5.9,93,86,10,9,90
6.3,96,91,10,9,95
3.1,71,61,6,6,64
4.6,83,73,8,7,76
